unitid,academicyear,instname,cpi_scalar_2012,hepi_scalar_2012,fte_count,tuition03,net_student_tuition,federal10,state09,private03,auxiliary03,other05,grant01,grant02,grant03,grant07,institutional_grant_aid,instruction01,research01,pubserv01,acadsupp01,studserv01,instsupp01,auxiliary01,opermain01,grants01,eandg01,eandg01_sum,eandg01_w_auxother_sum
220075,2010,East Tennessee State University,0.9524092017665279,0.9611186903137792,12722.190771,100585828.0,38909371.0,49039477.0,125667972.0,4180381.0,16081865.0,13874033.0,19269395.0,2417446.0,20711410.0,61676457.0,19278206.0,125887164.0,10405986.0,23105971.0,25411955.0,17459345.0,17566898.0,12008183.0,22487338.0,27829539.0,270154196.0,270154196.0,292252095.0
220075,2011,East Tennessee State University,0.9715334080372641,0.9836289222373811,13189.0,111336360.0,42600986.0,56175820.0,136606289.0,3450369.0,17993851.0,6727507.0,23625583.0,1709109.0,21896064.0,68735374.0,21504618.0,134036672.0,11432790.0,23322129.0,26078868.0,18849193.0,18412524.0,12802258.0,23447473.0,29602938.0,285182587.0,285182587.0,298376732.0
220075,2012,East Tennessee State University,1.0,1.0,13519.0,121921768.0,51418035.0,53397965.0,118164647.0,4385241.0,18872659.0,12367024.0,23918558.0,337922.0,23212451.0,70503733.0,23034802.0,139795185.0,10677587.0,22678709.0,29189921.0,19303757.0,19975821.0,13954165.0,25616573.0,29027895.0,296265448.0,296265448.0,310241326.0
221759,2000,The University of Tennessee,0.7439632632434692,0.671555252387449,37970.346613,179712816.0,125105747.0,119201840.0,444872544.0,93039808.0,121289664.0,219488880.0,13902257.0,3241988.0,3360317.0,54607080.0,34085659.0,350927840.0,140880416.0,110803464.0,83591720.0,44929696.0,66196972.0,94935104.0,55583176.0,54607080.0,944082048.0,907520364.0,1173916676.0
221759,2001,The University of Tennessee,0.7694504866741371,0.7118008185538879,37397.239732,192048240.0,132389360.0,130940648.0,483075328.0,91689312.0,123302352.0,237634392.0,14873886.0,3380760.0,3938042.0,59658876.0,37397548.0,376876192.0,155560736.0,116969968.0,88649976.0,46971200.0,66240744.0,97472816.0,64752248.0,59658876.0,962213568.0,975679940.0,1230350748.0
221759,2002,The University of Tennessee,0.783072968162942,0.725443383356071,37772.118386,217000128.0,148940833.0,150649216.0,490638400.0,89267248.0,130048456.0,110368812.0,18383276.0,3875568.0,4620207.0,68059296.0,41172885.0,398298240.0,168457536.0,120807248.0,86647056.0,50674644.0,70086080.0,129029008.0,69469096.0,68059296.0,1058180928.0,1032499196.0,1228310192.0
221759,2003,The University of Tennessee,0.8002109287456329,0.7622783083219651,37661.924349,227581968.0,152622126.0,183168240.0,497048128.0,127323624.0,132817560.0,42824403.0,20682984.0,2943353.0,4794821.0,74959856.0,46475948.0,417388512.0,195226240.0,127153952.0,97922016.0,54644536.0,78880352.0,133141920.0,75625720.0,74959856.0,1120406528.0,1121801184.0,1276037252.0
221759,2004,The University of Tennessee,0.8177883242150591,0.790245566166439,37186.330251,248440304.0,171655122.99218798,199535280.0,666731840.0,40485976.0,124353336.0,66777140.0,21265580.0,3704457.0,3812681.0,76775880.0,47993164.0,420783808.0,188040624.0,127106192.0,83584400.0,57098132.0,73615944.0,94546232.0,80765728.0,35314252.0,1066309056.0,1066309080.0,1298878729.0
221759,2005,The University of Tennessee,0.842396677872256,0.821282401091405,38288.770699,269858688.0,166766942.0,123377312.0,794528576.0,24103880.0,130426672.0,56433135.0,22345094.0,3472736.0,25084896.0,103091736.0,52188249.0,443704384.0,203725024.0,124241008.0,89249136.0,60901748.0,76092912.0,101752784.0,93516256.0,42724024.0,1134154496.0,1134154492.0,1343591376.0
221759,2006,The University of Tennessee,0.8744754246039592,0.863233287858117,39279.016914,302653536.0,172018575.0,206019488.0,728680128.0,36339120.0,135691472.0,56907528.0,21740880.0,4237948.0,36494808.0,130634968.0,68064281.0,462831488.0,197130672.0,126453208.0,94387344.0,62266988.0,80647160.0,99709928.0,90225576.0,59716652.0,1173659136.0,1173659088.0,1366457796.0
221759,2007,The University of Tennessee,0.897053589084437,0.887789904502046,40263.4921875,323852416.0,165637909.0,204735616.0,795459776.0,65724792.0,161725040.0,64527894.0,22924060.0,5332851.0,61472444.0,158214512.0,68383552.0,489889696.0,198104992.0,128002336.0,101814968.0,66282084.0,86190672.0,119236216.0,103055192.0,64760840.0,1238100736.0,1238100780.0,1445559240.0
221759,2008,The University of Tennessee,0.930292443917123,0.9317871759890859,42066.143852999994,352760671.0,172226804.0,217594762.0,849527466.0,21108078.0,158848059.0,71539994.0,26853509.0,6545421.0,74238138.0,180533867.0,72896299.0,524165276.0,204115548.0,133698414.0,111313089.0,72570559.0,100548056.0,121374210.0,99573409.0,66036030.0,1312020381.0,1312020381.0,1522822227.0
221759,2009,The University of Tennessee,0.943282139169029,0.9525920873124151,43173.492570999995,379028867.0,181021662.14209,248164394.0,806952728.0,27439479.0,168289174.0,72073779.0,30865416.0,7255805.0,83872575.0,198004226.0,76010430.0,527272241.0,206315286.0,130936725.0,113094915.0,75241105.0,99162548.0,121290442.0,115034775.0,71783642.0,1338841237.0,1338841237.0,1537956853.0
221759,2010,The University of Tennessee,0.9524092017665279,0.9611186903137792,43905.079481,413467126.0,190104176.0,320546299.0,706906063.0,41844164.0,180846473.0,135441746.0,48787868.0,9236939.0,87111899.0,223362950.0,78219418.0,561195464.0,250794266.0,133235920.0,114512869.0,80864242.0,103217982.0,146792004.0,131437378.0,87994743.0,1463252864.0,1463252864.0,1691522886.0
221759,2011,The University of Tennessee,0.9715334080372641,0.9836289222373811,44878.0,459785739.0,213079431.0,302631822.0,926667452.0,36487318.0,185799011.0,85958598.0,58408806.0,9676214.0,91894294.0,246706308.0,86722860.0,586820946.0,265277161.0,166229907.0,126285290.0,81411449.0,111373331.0,150970030.0,120945758.0,101279887.0,1559623729.0,1559623729.0,1788512624.0
221759,2012,The University of Tennessee,1.0,1.0,44788.0,515934206.0,263033602.0,294109042.0,763290562.0,34298530.0,190563124.0,100514541.0,57203823.0,4968682.0,95489546.0,252900604.0,95235317.0,613371414.0,273415456.0,164077499.0,133866434.0,87637483.0,131448434.0,154232753.0,122551051.0,89753298.0,1616121069.0,1616121069.0,1863358609.0
224147,2000,Texas A & M University-Corpus Christi,0.7439632632434692,0.671555252387449,4965.854902,16719887.0,9637413.0,5310740.0,44850896.0,1885159.0,5131642.0,2422746.0,3472093.0,185320.0,1488967.0,7082474.0,1936094.0,23938650.0,2463639.0,1750937.0,6977467.0,3099170.0,8748988.0,9065598.0,4128807.0,7082474.0,67139000.0,58190132.0,67255730.0
224147,2001,Texas A & M University-Corpus Christi,0.7694504866741371,0.7118008185538879,5282.432596,19184226.0,11030766.0,6920138.0,47276976.0,2458805.0,5450244.0,2298223.0,4102409.0,444295.0,664011.0,8153460.0,2942745.0,25503624.0,3480291.0,2112518.0,7482907.0,3119353.0,9844652.0,9568614.0,4699491.0,8153460.0,74379240.0,64396296.0,73964910.0
224147,2002,Texas A & M University-Corpus Christi,0.783072968162942,0.725443383356071,5840.726731000001,22973570.0,10438571.5,10300452.0,52985040.0,2913795.0,5334882.0,2964083.0,5159193.0,262415.0,3309493.0,10884474.0,3803897.5,28369488.0,5358372.0,1416840.0,7732029.0,4428753.0,9750558.0,9578269.0,5339195.0,1386824.0,63782056.0,63782059.0,86227682.0
224147,2003,Texas A & M University-Corpus Christi,0.8002109287456329,0.7622783083219651,6105.61982,26946104.0,13880937.0,11809276.0,53260572.0,5843941.0,5133347.0,2483457.0,5745926.0,288667.0,4547922.0,13065168.0,2482653.0,28554900.0,6673788.0,1836020.0,7065519.0,4959572.0,9283905.0,9571399.0,4883463.0,915598.0,64172764.0,64172765.0,84645418.0
